aggregation_level,event_family,sector,window_months,check_name,status,detail
sector,cross_fund_consensus_gained,Industrials,3,bootstrap_ci_ordered,pass,"excess=(0.048117539593,0.048117539593) excess_u=(0.043170135068,0.043170135068) proxy_u=(0.181099830907,0.181099830907)"
sector,cross_fund_consensus_gained,Industrials,3,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_gained,Industrials,6,bootstrap_ci_ordered,pass,"excess=(0.138950246183,0.138950246183) excess_u=(0.130052707683,0.130052707683) proxy_u=(0.318480374708,0.318480374708)"
sector,cross_fund_consensus_gained,Industrials,6,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_gained,Real Estate,1,bootstrap_ci_ordered,pass,"excess=(-0.004434396932,-0.004434396932) excess_u=(-0.002205444469,-0.002205444469) proxy_u=(0.052315775071,0.052315775071)"
sector,cross_fund_consensus_gained,Real Estate,1,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_gained,Real Estate,3,bootstrap_ci_ordered,pass,"excess=(-0.090549892123,-0.090549892123) excess_u=(-0.083047833000,-0.083047833000) proxy_u=(-0.082507515797,-0.082507515797)"
sector,cross_fund_consensus_gained,Real Estate,3,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_gained,Real Estate,6,bootstrap_ci_ordered,pass,"excess=(-0.125833392612,-0.125833392612) excess_u=(-0.107023570445,-0.107023570445) proxy_u=(-0.058359459709,-0.058359459709)"
sector,cross_fund_consensus_gained,Real Estate,6,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_gained,Technology,1,bootstrap_ci_ordered,pass,"excess=(0.000979983750,0.029508759224) excess_u=(-0.009549949331,0.019311990402) proxy_u=(-0.036527542457,0.038093879020)"
sector,cross_fund_consensus_gained,Technology,1,event_count_positive,pass,event_count=7
sector,cross_fund_consensus_gained,Technology,3,bootstrap_ci_ordered,pass,"excess=(0.021877241639,0.099648236042) excess_u=(-0.008830323858,0.069602798648) proxy_u=(-0.034767404682,0.077664660548)"
sector,cross_fund_consensus_gained,Technology,3,event_count_positive,pass,event_count=7
sector,cross_fund_consensus_gained,Technology,6,bootstrap_ci_ordered,pass,"excess=(0.048399928702,0.188162226160) excess_u=(-0.002426663359,0.135154645537) proxy_u=(0.003013345274,0.168358706689)"
sector,cross_fund_consensus_gained,Technology,6,event_count_positive,pass,event_count=7
sector,cross_fund_consensus_lost,Communication Services,1,bootstrap_ci_ordered,pass,"excess=(-0.072998673194,0.066122903637) excess_u=(-0.073296843011,0.065824733820) proxy_u=(0.034637680104,0.075885732471)"
sector,cross_fund_consensus_lost,Communication Services,1,event_count_positive,pass,event_count=2
sector,cross_fund_consensus_lost,Communication Services,3,bootstrap_ci_ordered,pass,"excess=(-0.062029588628,0.111813052395) excess_u=(-0.066174398752,0.107668242271) proxy_u=(0.062989996028,0.133178757610)"
sector,cross_fund_consensus_lost,Communication Services,3,event_count_positive,pass,event_count=2
sector,cross_fund_consensus_lost,Communication Services,6,bootstrap_ci_ordered,pass,"excess=(0.040691520590,0.162657675870) excess_u=(0.026999030197,0.148965185477) proxy_u=(0.147336995043,0.162575175345)"
sector,cross_fund_consensus_lost,Communication Services,6,event_count_positive,pass,event_count=2
sector,cross_fund_consensus_lost,Consumer Discretionary,1,bootstrap_ci_ordered,pass,"excess=(-0.009308919743,0.027203967159) excess_u=(-0.011168444536,0.024628954952) proxy_u=(-0.082206914378,0.029451307572)"
sector,cross_fund_consensus_lost,Consumer Discretionary,1,event_count_positive,pass,event_count=5
sector,cross_fund_consensus_lost,Consumer Discretionary,3,bootstrap_ci_ordered,pass,"excess=(-0.026415406336,0.088277786586) excess_u=(-0.032292251355,0.082400941567) proxy_u=(-0.104074910001,0.074269610199)"
sector,cross_fund_consensus_lost,Consumer Discretionary,3,event_count_positive,pass,event_count=5
sector,cross_fund_consensus_lost,Consumer Discretionary,6,bootstrap_ci_ordered,pass,"excess=(-0.021656557331,0.114518876386) excess_u=(-0.031252879205,0.105065526508) proxy_u=(-0.032341852349,0.089429430719)"
sector,cross_fund_consensus_lost,Consumer Discretionary,6,event_count_positive,pass,event_count=5
sector,cross_fund_consensus_lost,Financials,1,bootstrap_ci_ordered,pass,"excess=(-0.062570500806,-0.004916558053) excess_u=(-0.062135294902,-0.004481352149) proxy_u=(-0.123259274323,-0.019007388502)"
sector,cross_fund_consensus_lost,Financials,1,event_count_positive,pass,event_count=4
sector,cross_fund_consensus_lost,Financials,3,bootstrap_ci_ordered,pass,"excess=(-0.091268759079,0.028346539764) excess_u=(-0.090589094616,0.029026204227) proxy_u=(-0.109481458258,0.058981141373)"
sector,cross_fund_consensus_lost,Financials,3,event_count_positive,pass,event_count=4
sector,cross_fund_consensus_lost,Financials,6,bootstrap_ci_ordered,pass,"excess=(-0.087104154160,0.081180137171) excess_u=(-0.088513046650,0.079771244680) proxy_u=(-0.098024280470,0.178127974590)"
sector,cross_fund_consensus_lost,Financials,6,event_count_positive,pass,event_count=4
sector,cross_fund_consensus_lost,Health Care,1,bootstrap_ci_ordered,pass,"excess=(-0.020465247677,-0.020465247677) excess_u=(-0.018114856219,-0.018114856219) proxy_u=(-0.006795772459,-0.006795772459)"
sector,cross_fund_consensus_lost,Health Care,1,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_lost,Health Care,3,bootstrap_ci_ordered,pass,"excess=(-0.052539667063,-0.052539667063) excess_u=(-0.047533431046,-0.047533431046) proxy_u=(-0.014397190305,-0.014397190305)"
sector,cross_fund_consensus_lost,Health Care,3,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_lost,Health Care,6,bootstrap_ci_ordered,pass,"excess=(-0.029634761367,-0.029634761367) excess_u=(-0.019270238481,-0.019270238481) proxy_u=(0.009980540404,0.009980540404)"
sector,cross_fund_consensus_lost,Health Care,6,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_lost,Industrials,1,bootstrap_ci_ordered,pass,"excess=(0.033981296191,0.033981296191) excess_u=(0.032614376856,0.032614376856) proxy_u=(0.020436070217,0.020436070217)"
sector,cross_fund_consensus_lost,Industrials,1,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_lost,Industrials,3,bootstrap_ci_ordered,pass,"excess=(0.060586303726,0.060586303726) excess_u=(0.055638899201,0.055638899201) proxy_u=(0.104606844512,0.104606844512)"
sector,cross_fund_consensus_lost,Industrials,3,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_lost,Industrials,6,bootstrap_ci_ordered,pass,"excess=(-0.037974219237,-0.037974219237) excess_u=(-0.046871757737,-0.046871757737) proxy_u=(0.105806701158,0.105806701158)"
sector,cross_fund_consensus_lost,Industrials,6,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_lost,Real Estate,1,bootstrap_ci_ordered,pass,"excess=(-0.011828333031,-0.011828333031) excess_u=(-0.009599380568,-0.009599380568) proxy_u=(-0.085516796925,-0.085516796925)"
sector,cross_fund_consensus_lost,Real Estate,1,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_lost,Real Estate,3,bootstrap_ci_ordered,pass,"excess=(-0.073135331231,-0.073135331231) excess_u=(-0.065633272108,-0.065633272108) proxy_u=(-0.094897584176,-0.094897584176)"
sector,cross_fund_consensus_lost,Real Estate,3,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_lost,Real Estate,6,bootstrap_ci_ordered,pass,"excess=(-0.110773553866,-0.110773553866) excess_u=(-0.091963731699,-0.091963731699) proxy_u=(-0.110178950400,-0.110178950400)"
sector,cross_fund_consensus_lost,Real Estate,6,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_lost,Technology,1,bootstrap_ci_ordered,pass,"excess=(-0.023163902402,0.042506552476) excess_u=(-0.032322965467,0.033254217050) proxy_u=(-0.065840378136,0.029352293165)"
sector,cross_fund_consensus_lost,Technology,1,event_count_positive,pass,event_count=7
sector,cross_fund_consensus_lost,Technology,3,bootstrap_ci_ordered,pass,"excess=(0.000333520364,0.067175538347) excess_u=(-0.027268109141,0.039309521748) proxy_u=(-0.028747521527,0.071636071182)"
sector,cross_fund_consensus_lost,Technology,3,event_count_positive,pass,event_count=7
sector,cross_fund_consensus_lost,Technology,6,bootstrap_ci_ordered,pass,"excess=(-0.007640017722,0.119361653578) excess_u=(-0.062615911071,0.061985480667) proxy_u=(-0.056264001332,0.035898927221)"
sector,cross_fund_consensus_lost,Technology,6,event_count_positive,pass,event_count=7
sector,nbim_overweight_tech,Technology,1,bootstrap_ci_ordered,pass,"excess=(-0.018538748608,0.030501083723) excess_u=(-0.029228535367,0.019563925058) proxy_u=(-0.065591750820,0.011259762762)"
sector,nbim_overweight_tech,Technology,1,event_count_positive,pass,event_count=8
sector,nbim_overweight_tech,Technology,3,bootstrap_ci_ordered,pass,"excess=(-0.013938694673,0.055007730179) excess_u=(-0.042897451226,0.026265006465) proxy_u=(-0.063459607544,-0.005972086896)"
sector,nbim_overweight_tech,Technology,3,event_count_positive,pass,event_count=7
sector,nbim_overweight_tech,Technology,6,bootstrap_ci_ordered,pass,"excess=(0.008317692604,0.135840348920) excess_u=(-0.046755575218,0.076513423519) proxy_u=(-0.085915976550,0.100481269935)"
sector,nbim_overweight_tech,Technology,6,event_count_positive,pass,event_count=7
sector,nbim_positive_industry_weight_change,Communication Services,1,bootstrap_ci_ordered,pass,"excess=(0.011247769912,0.011247769912) excess_u=(0.010949600095,0.010949600095) proxy_u=(0.062206697827,0.062206697827)"
sector,nbim_positive_industry_weight_change,Communication Services,1,event_count_positive,pass,event_count=1
sector,nbim_positive_industry_weight_change,Communication Services,3,bootstrap_ci_ordered,pass,"excess=(-0.063733811595,-0.063733811595) excess_u=(-0.067878621719,-0.067878621719) proxy_u=(-0.131751503089,-0.131751503089)"
sector,nbim_positive_industry_weight_change,Communication Services,3,event_count_positive,pass,event_count=1
sector,nbim_positive_industry_weight_change,Communication Services,6,bootstrap_ci_ordered,pass,"excess=(-0.092905211046,-0.092905211046) excess_u=(-0.106597701439,-0.106597701439) proxy_u=(-0.273910675836,-0.273910675836)"
sector,nbim_positive_industry_weight_change,Communication Services,6,event_count_positive,pass,event_count=1
sector,nbim_positive_industry_weight_change,Consumer Discretionary,1,bootstrap_ci_ordered,pass,"excess=(-0.021569486957,0.030295941729) excess_u=(-0.023429011750,0.028436416936) proxy_u=(-0.030119051849,0.060187291183)"
sector,nbim_positive_industry_weight_change,Consumer Discretionary,1,event_count_positive,pass,event_count=5
sector,nbim_positive_industry_weight_change,Consumer Discretionary,3,bootstrap_ci_ordered,pass,"excess=(-0.068261863102,0.007454620848) excess_u=(-0.074138708121,0.002066250649) proxy_u=(-0.096261224024,0.007207201526)"
sector,nbim_positive_industry_weight_change,Consumer Discretionary,3,event_count_positive,pass,event_count=5
sector,nbim_positive_industry_weight_change,Consumer Discretionary,6,bootstrap_ci_ordered,pass,"excess=(-0.047525678634,0.045607549987) excess_u=(-0.056394828589,0.036774029920) proxy_u=(-0.102156221616,0.035370820334)"
sector,nbim_positive_industry_weight_change,Consumer Discretionary,6,event_count_positive,pass,event_count=5
sector,nbim_positive_industry_weight_change,Consumer Staples,1,bootstrap_ci_ordered,pass,"excess=(0.028669388153,0.028669388153) excess_u=(0.031269639409,0.031269639409) proxy_u=(0.041781244243,0.041781244243)"
sector,nbim_positive_industry_weight_change,Consumer Staples,1,event_count_positive,pass,event_count=1
sector,nbim_positive_industry_weight_change,Consumer Staples,3,bootstrap_ci_ordered,pass,"excess=(-0.036483750942,-0.036483750942) excess_u=(-0.029921154615,-0.029921154615) proxy_u=(-0.003595489289,-0.003595489289)"
sector,nbim_positive_industry_weight_change,Consumer Staples,3,event_count_positive,pass,event_count=1
sector,nbim_positive_industry_weight_change,Consumer Staples,6,bootstrap_ci_ordered,pass,"excess=(-0.071629528446,-0.071629528446) excess_u=(-0.057859457750,-0.057859457750) proxy_u=(-0.040774797461,-0.040774797461)"
sector,nbim_positive_industry_weight_change,Consumer Staples,6,event_count_positive,pass,event_count=1
sector,nbim_positive_industry_weight_change,Energy,1,bootstrap_ci_ordered,pass,"excess=(-0.017211277021,0.008698578157) excess_u=(-0.023912411979,0.001997443199) proxy_u=(0.012509048033,0.027795291936)"
sector,nbim_positive_industry_weight_change,Energy,1,event_count_positive,pass,event_count=2
