rebalance_id,signal_date,trade_date,as_of_date,signal_id,instrument_key,symbol,display_name,target_weight,signal_value,include_flag,rationale_text
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.100000000000,21284499711,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.100000000000,20290146888,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.100000000000,11188635405,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.100000000000,8141966448,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.100000000000,5261766004,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.100000000000,5118127915,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::META,mirror::META,META,Meta Platforms Inc,0.100000000000,4172579507,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.100000000000,3867645372,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.100000000000,3800874480,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.100000000000,3392477099,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.100000000000,35289389567,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.100000000000,33212614065,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.100000000000,19249544751,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.100000000000,17456494325,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.100000000000,14361884134,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::META,mirror::META,META,Meta Platforms Inc,0.100000000000,11138547431,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.100000000000,7723298099,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.100000000000,6804934844,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.100000000000,5895878625,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.100000000000,5420265630,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-08-30,2024-08-14,2024-08-30,2024-06-30,2024-06-30::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.100000000000,42620047140,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-08-30,2024-08-14,2024-08-30,2024-06-30,2024-06-30::AAPL,mirror::AAPL,AAPL,Apple Inc,0.100000000000,36703941357,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2024-08-30,2024-08-14,2024-08-30,2024-06-30,2024-06-30::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.100000000000,35412074008,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
