strategy_key,strategy_name,rebalance_id,trade_date,next_rebalance_trade_date,evaluation_end_date,period_return,included_count,positions_bought_count,positions_sold_count
p4,P4 Exit Avoidance,P4EA-R020,2024-10-01,2024-11-15,2024-11-14,0.142332415060,1,1,21
p4,P4 Exit Avoidance,P4EA-R021,2024-11-15,2025-02-18,2025-02-14,0.260471574601,26,26,1
p4,P4 Exit Avoidance,P4EA-R022,2025-02-18,2025-05-16,2025-05-15,-0.054557285278,25,25,26
p4,P4 Exit Avoidance,P4EA-R023,2025-05-16,2025-08-15,2025-08-14,0.151548717090,23,23,25
p4,P4 Exit Avoidance,P4EA-R024,2025-08-15,2025-11-17,2025-11-14,-0.075328623374,6,6,23
p4,P4 Exit Avoidance,P4EA-R025,2025-11-17,2026-02-18,2026-02-17,-0.207060816398,5,5,6
p4,P4 Exit Avoidance,P4EA-R026,2026-02-18,2026-05-18,2026-05-15,-0.190021211230,4,4,5
p5,P5 Cash-Aware Copy,P5CAC-R001,2019-02-14,2019-08-07,2019-08-06,-0.240379273855,0,1,0
p5,P5 Cash-Aware Copy,P5CAC-R002,2019-08-07,2020-02-05,2020-02-04,2.800274783710,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R003,2020-02-05,2020-05-18,2020-05-15,0.000415062347,0,0,1
p5,P5 Cash-Aware Copy,P5CAC-R004,2020-05-18,2020-08-17,2020-08-14,0.104894790048,0,23,1
p5,P5 Cash-Aware Copy,P5CAC-R005,2020-08-17,2020-11-17,2020-11-16,0.086813555922,0,8,19
p5,P5 Cash-Aware Copy,P5CAC-R006,2020-11-17,2021-05-18,2021-05-17,0.078711344634,0,1,7
p5,P5 Cash-Aware Copy,P5CAC-R007,2021-05-18,2022-10-12,2022-10-11,-0.545306178228,0,11,6
p5,P5 Cash-Aware Copy,P5CAC-R008,2022-10-12,2022-11-15,2022-11-14,0.222725418034,0,1,11
p5,P5 Cash-Aware Copy,P5CAC-R009,2022-11-15,2022-12-23,2022-12-22,-0.014734169313,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R010,2022-12-23,2023-02-15,2023-02-14,0.014180353127,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R011,2023-02-15,2023-05-16,2023-05-15,0.113213105261,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R012,2023-05-16,2023-08-15,2023-08-14,0.079562620538,0,3,1
p5,P5 Cash-Aware Copy,P5CAC-R013,2023-08-15,2023-11-15,2023-11-14,0.118085082604,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R014,2023-11-15,2024-02-15,2024-02-14,0.063920046861,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R015,2024-02-15,2024-05-16,2024-05-15,0.017708490444,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R016,2024-05-16,2024-10-01,2024-09-30,0.068670452321,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R017,2024-10-01,2024-11-15,2024-11-14,0.019583227568,0,1,3
p5,P5 Cash-Aware Copy,P5CAC-R018,2024-11-15,2025-02-18,2025-02-14,0.385609715792,0,25,0
p5,P5 Cash-Aware Copy,P5CAC-R019,2025-02-18,2025-05-16,2025-05-15,-0.148113809222,0,5,2
p5,P5 Cash-Aware Copy,P5CAC-R020,2025-05-16,2025-08-15,2025-08-14,-0.094173723854,0,6,5
p5,P5 Cash-Aware Copy,P5CAC-R021,2025-08-15,2025-11-17,2025-11-14,-0.154155562921,0,1,20
p5,P5 Cash-Aware Copy,P5CAC-R022,2025-11-17,2026-02-18,2026-02-17,-0.204434315325,0,1,10
