trade_date,issuer_name,symbol,evaluation_end_date,forward_return
2024-11-15,MULTIPLAN CORPORATION,CTEV,2025-02-14,3.467637540453
2024-11-15,NU HLDGS LTD,NU,2025-02-14,-0.025604551920
2024-11-15,PAYPAL HLDGS INC,PYPL,2025-02-14,-0.091576464139
2024-11-15,PDD HOLDINGS INC,PDD,2025-02-14,0.089122807018
2024-11-15,PINTEREST INC,PINS,2025-02-14,0.376416430595
2024-11-15,PROLOGIS INC.,PLD,2025-02-14,0.074713167968
2024-11-15,SEA LTD,SE,2025-02-14,0.310957839518
2024-11-15,SHOPIFY INC,SHOP,2025-02-14,0.183058438566
2024-11-15,TAKE-TWO INTERACTIVE SOFTWAR,TTWO,2025-02-14,0.175318038509
2024-11-15,UBER TECHNOLOGIES INC,UBER,2025-02-14,0.084232081911
2024-11-15,VISA INC,V,2025-02-14,0.144568879554
2024-11-15,WALMART INC,WMT,2025-02-14,0.237619522163
2025-02-18,DOORDASH INC,DASH,2025-05-15,-0.070151389348
2025-05-16,BEIGENE LTD,BEIGF,2025-08-14,0.000000000000
2025-05-16,CLARITEV CORPORATION,MPLN,2025-08-14,1.476625273923
2025-08-15,BEONE MEDICINES LTD,ONC,2025-11-14,0.138349581104
