aggregation_level,event_family,sector,window_months,event_count,avg_proxy_forward_return,median_proxy_forward_return,avg_benchmark_forward_return,avg_excess_forward_return,median_excess_forward_return,excess_hit_rate,positive_proxy_hit_rate,best_excess_forward_return,worst_excess_forward_return
sector,cross_fund_consensus_lost,Technology,3,7,0.075113744810,0.066179894297,0.041615728604,0.033498016206,0.034214042526,0.714285714286,0.857142857143,0.118059621323,-0.031208106645
sector,cross_fund_consensus_lost,Technology,6,7,0.105195114605,0.101545805457,0.055094575209,0.050100539395,0.021944203465,0.714285714286,1.000000000000,0.213616881992,-0.055139534648
sector,nbim_overweight_tech,Technology,1,8,-0.005358178835,0.006479898283,-0.010775575637,0.005417396802,0.004373541293,0.500000000000,0.500000000000,0.064667372325,-0.048332730973
sector,nbim_overweight_tech,Technology,3,7,0.028389958106,0.038452600452,0.012830686544,0.015559271561,0.001698046982,0.571428571429,0.857142857143,0.115865739802,-0.028867850336
sector,nbim_overweight_tech,Technology,6,7,0.125722823484,0.118390747785,0.060233143666,0.065489679818,0.033974346593,0.714285714286,0.857142857143,0.243257868938,-0.018924788782
sector,nbim_positive_industry_weight_change,Communication Services,1,1,0.073548427896,0.073548427896,0.062300657984,0.011247769912,0.011247769912,1.000000000000,1.000000000000,0.011247769912,0.011247769912
sector,nbim_positive_industry_weight_change,Communication Services,3,1,-0.096530630352,-0.096530630352,-0.032796818757,-0.063733811595,-0.063733811595,0.000000000000,0.000000000000,-0.063733811595,-0.063733811595
sector,nbim_positive_industry_weight_change,Communication Services,6,1,-0.196372800162,-0.196372800162,-0.103467589116,-0.092905211046,-0.092905211046,0.000000000000,0.000000000000,-0.092905211046,-0.092905211046
sector,nbim_positive_industry_weight_change,Consumer Discretionary,1,5,0.026364989541,0.033737996896,0.022001762155,0.004363227386,0.003120615966,0.600000000000,0.800000000000,0.044753707432,-0.027820679003
sector,nbim_positive_industry_weight_change,Consumer Discretionary,3,5,-0.004470018642,0.011694021188,0.023660672273,-0.028130690915,-0.012563170377,0.200000000000,0.600000000000,0.035038933583,-0.089090048864
sector,nbim_positive_industry_weight_change,Consumer Discretionary,6,5,0.047037349405,0.090161046711,0.047090121995,-0.000052772590,0.007555952753,0.600000000000,0.800000000000,0.079368388418,-0.084246766226
sector,nbim_positive_industry_weight_change,Consumer Staples,1,1,0.049773947056,0.049773947056,0.021104558904,0.028669388153,0.028669388153,1.000000000000,1.000000000000,0.028669388153,0.028669388153
sector,nbim_positive_industry_weight_change,Consumer Staples,3,1,0.020102827010,0.020102827010,0.056586577952,-0.036483750942,-0.036483750942,0.000000000000,1.000000000000,-0.036483750942,-0.036483750942
sector,nbim_positive_industry_weight_change,Consumer Staples,6,1,0.005825846703,0.005825846703,0.077455375149,-0.071629528446,-0.071629528446,0.000000000000,1.000000000000,-0.071629528446,-0.071629528446
sector,nbim_positive_industry_weight_change,Energy,1,2,0.037446259011,0.037446259011,0.041702608444,-0.004256349432,-0.004256349432,0.500000000000,1.000000000000,0.008698578157,-0.017211277021
sector,nbim_positive_industry_weight_change,Energy,3,2,0.097083455719,0.097083455719,0.011894879597,0.085188576121,0.085188576121,0.500000000000,0.500000000000,0.243805883247,-0.073428731005
sector,nbim_positive_industry_weight_change,Energy,6,2,0.111367364420,0.111367364420,-0.013006106984,0.124373471403,0.124373471403,1.000000000000,1.000000000000,0.200259000207,0.048487942600
sector,nbim_positive_industry_weight_change,Financials,1,2,-0.030498510848,-0.030498510848,0.024277000822,-0.054775511669,-0.054775511669,0.000000000000,0.500000000000,-0.010011874304,-0.099539149034
sector,nbim_positive_industry_weight_change,Financials,3,2,-0.019962544475,-0.019962544475,0.051005706509,-0.070968250983,-0.070968250983,0.000000000000,0.500000000000,-0.037960071644,-0.103976430322
sector,nbim_positive_industry_weight_change,Financials,6,2,-0.012018980475,-0.012018980475,0.092256644912,-0.104275625388,-0.104275625388,0.000000000000,0.000000000000,-0.087087608562,-0.121463642213
sector,nbim_positive_industry_weight_change,Health Care,1,2,0.026502952348,0.026502952348,0.013174917276,0.013328035072,0.013328035072,0.500000000000,0.500000000000,0.039034384310,-0.012378314167
sector,nbim_positive_industry_weight_change,Health Care,3,2,-0.000076116898,-0.000076116898,0.025460098500,-0.025536215397,-0.025536215397,0.000000000000,0.500000000000,-0.023541010309,-0.027531420486
sector,nbim_positive_industry_weight_change,Health Care,6,2,0.020649729121,0.020649729121,0.044124016721,-0.023474287600,-0.023474287600,0.000000000000,0.500000000000,-0.023052072967,-0.023896502233
sector,nbim_positive_industry_weight_change,Real Estate,1,1,0.058696247685,0.058696247685,0.062300657984,-0.003604410299,-0.003604410299,0.000000000000,1.000000000000,-0.003604410299,-0.003604410299
sector,nbim_positive_industry_weight_change,Real Estate,3,1,-0.058098782720,-0.058098782720,-0.032796818757,-0.025301963963,-0.025301963963,0.000000000000,0.000000000000,-0.025301963963,-0.025301963963
sector,nbim_positive_industry_weight_change,Real Estate,6,1,-0.094010862460,-0.094010862460,-0.103467589116,0.009456726656,0.009456726656,1.000000000000,0.000000000000,0.009456726656,0.009456726656
sector,nbim_positive_industry_weight_change,Technology,1,8,-0.005358178835,0.006479898283,-0.010775575637,0.005417396802,0.004373541293,0.500000000000,0.500000000000,0.064667372325,-0.048332730973
sector,nbim_positive_industry_weight_change,Technology,3,7,0.028389958106,0.038452600452,0.012830686544,0.015559271561,0.001698046982,0.571428571429,0.857142857143,0.115865739802,-0.028867850336
sector,nbim_positive_industry_weight_change,Technology,6,7,0.125722823484,0.118390747785,0.060233143666,0.065489679818,0.033974346593,0.714285714286,0.857142857143,0.243257868938,-0.018924788782
