event_family,event_label,event_date,analysis_start_date,target_end_date,actual_end_date,window_months,window_label,actual_horizon_days,sector,proxy_symbol,benchmark_symbol,signal_strength,signal_context,source,proxy_start_close,proxy_end_close,proxy_forward_return,benchmark_start_close,benchmark_end_close,benchmark_forward_return,excess_forward_return
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-02-18,2025-02-18,2025-05-18,2025-05-19,3,3m,90,Technology,XLK,VT,0.08406516,consensus:yes->no,swf_signal_states,119.62136000,116.26822000,-0.028031281370,121.30664000,121.69201000,0.003176825275,-0.031208106645
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-02-18,2025-02-18,2025-08-18,2025-08-18,6,6m,181,Technology,XLK,VT,0.08406516,consensus:yes->no,swf_signal_states,119.62136000,132.42884000,0.107066831542,121.30664000,131.63258000,0.085122628077,0.021944203465
nbim_overweight_tech,NBIM Overweight Tech,2025-02-26,2025-02-26,2025-03-26,2025-03-26,1,1m,28,Technology,XLK,VT,0.01459300,sector_weight_change,swf_combined_signal_panel,114.10858000,105.82365000,-0.072605670844,118.74293000,115.86069000,-0.024272939871,-0.048332730973
nbim_overweight_tech,NBIM Overweight Tech,2025-02-26,2025-02-26,2025-05-26,2025-05-27,3,3m,90,Technology,XLK,VT,0.01459300,sector_weight_change,swf_combined_signal_panel,114.10858000,115.10330000,0.008717311179,118.74293000,121.62330000,0.024257191565,-0.015539880386
nbim_overweight_tech,NBIM Overweight Tech,2025-02-26,2025-02-26,2025-08-26,2025-08-26,6,6m,181,Technology,XLK,VT,0.01459300,sector_weight_change,swf_combined_signal_panel,114.10858000,130.81744000,0.146429479711,118.74293000,132.09618200,0.112455133118,0.033974346593
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2025-02-26,2025-02-26,2025-03-26,2025-03-26,1,1m,28,Consumer Discretionary,XLY,VT,0.00730200,sector_weight_change,swf_combined_signal_panel,105.93191000,100.43020000,-0.051936286243,118.74293000,115.86069000,-0.024272939871,-0.027663346372
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2025-02-26,2025-02-26,2025-05-26,2025-05-27,3,3m,90,Consumer Discretionary,XLY,VT,0.00730200,sector_weight_change,swf_combined_signal_panel,105.93191000,107.17068000,0.011694021188,118.74293000,121.62330000,0.024257191565,-0.012563170377
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2025-02-26,2025-02-26,2025-08-26,2025-08-26,6,6m,181,Consumer Discretionary,XLY,VT,0.00730200,sector_weight_change,swf_combined_signal_panel,105.93191000,115.97762000,0.094831765046,118.74293000,132.09618200,0.112455133118,-0.017623368072
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2025-02-26,2025-02-26,2025-03-26,2025-03-26,1,1m,28,Technology,XLK,VT,0.01459300,sector_weight_change,swf_combined_signal_panel,114.10858000,105.82365000,-0.072605670844,118.74293000,115.86069000,-0.024272939871,-0.048332730973
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2025-02-26,2025-02-26,2025-05-26,2025-05-27,3,3m,90,Technology,XLK,VT,0.01459300,sector_weight_change,swf_combined_signal_panel,114.10858000,115.10330000,0.008717311179,118.74293000,121.62330000,0.024257191565,-0.015539880386
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2025-02-26,2025-02-26,2025-08-26,2025-08-26,6,6m,181,Technology,XLK,VT,0.01459300,sector_weight_change,swf_combined_signal_panel,114.10858000,130.81744000,0.146429479711,118.74293000,132.09618200,0.112455133118,0.033974346593
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2025-05-16,2025-05-16,2025-06-16,2025-06-16,1,1m,31,Technology,XLK,VT,0.05785210,consensus:no->yes,swf_signal_states,116.43675000,120.47677000,0.034697120969,121.35824000,123.73396000,0.019576091413,0.015121029556
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2025-05-16,2025-05-16,2025-08-16,2025-08-18,3,3m,94,Technology,XLK,VT,0.05785210,consensus:no->yes,swf_signal_states,116.43675000,132.42884000,0.137345726328,121.35824000,131.63258000,0.084661247559,0.052684478769
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2025-05-16,2025-05-16,2025-11-16,2025-11-17,6,6m,185,Technology,XLK,VT,0.05785210,consensus:no->yes,swf_signal_states,116.43675000,141.42992000,0.214650185616,121.35824000,136.30589000,0.123169633970,0.091480551646
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2025-08-13,2025-08-13,2025-09-13,2025-09-15,1,1m,33,Financials,XLF,VT,0.01345700,sector_weight_change,swf_combined_signal_panel,52.13829000,53.04745500,0.017437568436,131.87918000,135.49919000,0.027449442740,-0.010011874304
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2025-08-13,2025-08-13,2025-11-13,2025-11-13,3,3m,92,Financials,XLF,VT,0.01345700,sector_weight_change,swf_combined_signal_panel,52.13829000,52.52749000,0.007464763421,131.87918000,137.86977000,0.045424835065,-0.037960071644
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2025-08-13,2025-08-13,2026-02-13,2026-02-13,6,6m,184,Financials,XLF,VT,0.01345700,sector_weight_change,swf_combined_signal_panel,52.13829000,51.38720000,-0.014405727537,131.87918000,145.99789000,0.107057914676,-0.121463642213
