event_family,event_date,sector,window_months,check_name,status,detail
cross_fund_consensus_gained,2021-05-18,Financials,3,date_order_valid,pass,2021-05-18 -> 2021-08-18
cross_fund_consensus_gained,2021-05-18,Financials,6,date_order_valid,pass,2021-05-18 -> 2021-11-18
cross_fund_consensus_gained,2021-05-18,Technology,1,date_order_valid,pass,2021-05-18 -> 2021-06-18
cross_fund_consensus_gained,2021-05-18,Technology,3,date_order_valid,pass,2021-05-18 -> 2021-08-18
cross_fund_consensus_gained,2021-05-18,Technology,6,date_order_valid,pass,2021-05-18 -> 2021-11-18
pif_expanding,2021-05-18,,1,date_order_valid,pass,2021-05-18 -> 2021-06-18
pif_expanding,2021-05-18,,3,date_order_valid,pass,2021-05-18 -> 2021-08-18
pif_expanding,2021-05-18,,6,date_order_valid,pass,2021-05-18 -> 2021-11-18
cross_fund_consensus_lost,2021-08-17,Consumer Discretionary,1,date_order_valid,pass,2021-08-17 -> 2021-09-17
cross_fund_consensus_lost,2021-08-17,Consumer Discretionary,3,date_order_valid,pass,2021-08-17 -> 2021-11-17
cross_fund_consensus_lost,2021-08-17,Consumer Discretionary,6,date_order_valid,pass,2021-08-17 -> 2022-02-17
cross_fund_consensus_lost,2021-08-17,Financials,1,date_order_valid,pass,2021-08-17 -> 2021-09-17
cross_fund_consensus_lost,2021-08-17,Financials,3,date_order_valid,pass,2021-08-17 -> 2021-11-17
cross_fund_consensus_lost,2021-08-17,Financials,6,date_order_valid,pass,2021-08-17 -> 2022-02-17
cross_fund_consensus_lost,2021-08-17,Technology,1,date_order_valid,pass,2021-08-17 -> 2021-09-17
cross_fund_consensus_lost,2021-08-17,Technology,3,date_order_valid,pass,2021-08-17 -> 2021-11-17
cross_fund_consensus_lost,2021-08-17,Technology,6,date_order_valid,pass,2021-08-17 -> 2022-02-17
cross_fund_consensus_gained,2022-03-04,Communication Services,1,date_order_valid,pass,2022-03-04 -> 2022-04-04
cross_fund_consensus_gained,2022-03-04,Communication Services,3,date_order_valid,pass,2022-03-04 -> 2022-06-06
cross_fund_consensus_gained,2022-03-04,Communication Services,6,date_order_valid,pass,2022-03-04 -> 2022-09-06
nbim_overweight_tech,2022-03-04,Technology,1,date_order_valid,pass,2022-03-04 -> 2022-04-04
nbim_overweight_tech,2022-03-04,Technology,3,date_order_valid,pass,2022-03-04 -> 2022-06-06
nbim_overweight_tech,2022-03-04,Technology,6,date_order_valid,pass,2022-03-04 -> 2022-09-06
nbim_positive_industry_weight_change,2022-03-04,Communication Services,1,date_order_valid,pass,2022-03-04 -> 2022-04-04
nbim_positive_industry_weight_change,2022-03-04,Communication Services,3,date_order_valid,pass,2022-03-04 -> 2022-06-06
nbim_positive_industry_weight_change,2022-03-04,Communication Services,6,date_order_valid,pass,2022-03-04 -> 2022-09-06
nbim_positive_industry_weight_change,2022-03-04,Consumer Discretionary,1,date_order_valid,pass,2022-03-04 -> 2022-04-04
nbim_positive_industry_weight_change,2022-03-04,Consumer Discretionary,3,date_order_valid,pass,2022-03-04 -> 2022-06-06
nbim_positive_industry_weight_change,2022-03-04,Consumer Discretionary,6,date_order_valid,pass,2022-03-04 -> 2022-09-06
nbim_positive_industry_weight_change,2022-03-04,Energy,1,date_order_valid,pass,2022-03-04 -> 2022-04-04
