security_key,issuer_name,cusip,title_of_class,baseline_price_eligible_flag,eligibility_note,selected_symbol,selected_exchange,selected_type,selected_country,selected_score,mapping_source,mapping_status,mapping_notes
72352L106|CL A||SH|PINTEREST INC,PINTEREST INC,72352L106,CL A,1,,PINS,NYSE,Common Stock,United States,13,twelvedata_search,auto_approved,
72919P202|COM NEW||SH|PLUG POWER INC,PLUG POWER INC,72919P202,COM NEW,1,,PLUG,NASDAQ,Common Stock,United States,16,twelvedata_search,auto_approved,
74340W103|COM||SH|PROLOGIS INC.,PROLOGIS INC.,74340W103,COM,1,,PLD,NYSE,REIT,United States,16,twelvedata_search,auto_approved,
747525103|COM||SH|QUALCOMM INC,QUALCOMM INC,747525103,COM,1,,QCOM,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
780259206|SPONS ADR A||SH|ROYAL DUTCH SHELL PLC,ROYAL DUTCH SHELL PLC,780259206,SPONS ADR A,1,,SHEL,NYSE,ADR,United States,verified,manual_override,approved,Use SHEL because Twelve Data rejects legacy RDS.A but returns valid NYSE history under the post-rename lineage.
79466L302|COM||SH|SALESFORCE INC,SALESFORCE INC,79466L302,COM,1,,CRM,NYSE,Common Stock,United States,17,twelvedata_search,auto_approved,
81141R100|SPONSORD ADS||SH|SEA LTD,SEA LTD,81141R100,SPONSORD ADS,1,,SE,US,ADR,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
81141R100|SPONSORED ADS||SH|SEA LTD,SEA LTD,81141R100,SPONSORED ADS,1,,SE,US,ADR,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
81369Y860|RL EST SEL SEC||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y860,RL EST SEL SEC,1,,XLRE,US,ETP,United States,6,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
81369Y860|SBI MATERIALS||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y860,SBI MATERIALS,1,,XLRE,US,ETP,United States,6,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
81369Y886|SBI INT-UTILS||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y886,SBI INT-UTILS,1,,XLU,US,ETP,United States,6,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
82509L107|CL A||SH|SHOPIFY INC,SHOPIFY INC,82509L107,CL A,1,,SHOP,NASDAQ,Common Stock,United States,16,twelvedata_search,auto_approved,
855244109|COM||SH|STARBUCKS CORP,STARBUCKS CORP,855244109,COM,1,,SBUX,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
867224107|COM||SH|SUNCOR ENERGY INC NEW,SUNCOR ENERGY INC NEW,867224107,COM,1,,SU,NYSE,Common Stock,United States,17,twelvedata_search,auto_approved,
874054109|COM||SH|TAKE-TWO INTERACTIVE SOFTWAR,TAKE-TWO INTERACTIVE SOFTWAR,874054109,COM,1,,TTWO,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,1,,TSLA,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
89151E109|SPONSORED ADS||SH|TOTAL S.A.,TOTAL S.A.,89151E109,SPONSORED ADS,1,,TTE,NYSE,ADR,United States,verified,manual_override,approved,Verified against Twelve Data search and time_series.
90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,COM,1,,UBER,NYSE,Common Stock,United States,17,twelvedata_search,auto_approved,
907818108|COM||SH|UNION PAC CORP,UNION PAC CORP,907818108,COM,1,,UNP,NYSE,Common Stock,United States,14,twelvedata_search,auto_approved,
92826C839|COM CL A||SH|VISA INC,VISA INC,92826C839,COM CL A,1,,V,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
931142103|COM||SH|WALMART INC,WALMART INC,931142103,COM,1,,WMT,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
98980L101|CL A||SH|ZOOM VIDEO COMMUNICATIONS IN,ZOOM VIDEO COMMUNICATIONS IN,98980L101,CL A,1,,ZM,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
G07031100|CL A SHS||SH|BABYLON HLDGS LTD,BABYLON HLDGS LTD,G07031100,CL A SHS,1,,BBLNF,OTC,Common Stock,United States,13,twelvedata_search,auto_approved,
G07031209|CL A SHS||SH|BABYLON HLDGS LTD,BABYLON HLDGS LTD,G07031209,CL A SHS,1,,BBLNF,OTC,Common Stock,United States,13,twelvedata_search,auto_approved,
G5494J103|SHS||SH|LINDE PLC,LINDE PLC,G5494J103,SHS,1,,LIN,NASDAQ,Common Stock,United States,16,twelvedata_search,auto_approved,
G54950103|SHS||SH|LINDE PLC,LINDE PLC,G54950103,SHS,1,,LIN,NASDAQ,Common Stock,United States,16,twelvedata_search,auto_approved,
G6683N103|ORD SHS CL A||SH|NU HLDGS LTD,NU HLDGS LTD,G6683N103,ORD SHS CL A,1,,NU,NYSE,Common Stock,United States,16,twelvedata_search,auto_approved,
N30577105|ORD SHS||SH|ERMENEGILDO ZEGNA N V,ERMENEGILDO ZEGNA N V,N30577105,ORD SHS,1,,ZGN,NYSE,Common Stock,United States,16,twelvedata_search,auto_approved,
N80029106|ORD SHS||SH|SIGNA SPORTS UNITED NV,SIGNA SPORTS UNITED NV,N80029106,ORD SHS,1,,SSUNF,OTC,Common Stock,United States,verified,manual_override,approved,Verified against Twelve Data search and time_series.
