period,prev_as_of_date,curr_as_of_date,public_date,trade_date,common_sector,weight_before,weight_after,net_weight_change,entry_count,exit_count,accumulation_count,reduction_count,raw_sector_count
2020-12-31->2021-03-31,2020-12-31,2021-03-31,2021-05-17,2021-05-18,Consumer Discretionary,0.00000000,0.09646145,0.09646145,2,0,0,0,2
2020-12-31->2021-03-31,2020-12-31,2021-03-31,2021-05-17,2021-05-18,Financials,0.00000000,0.00489897,0.00489897,1,0,0,0,1
2020-12-31->2021-03-31,2020-12-31,2021-03-31,2021-05-17,2021-05-18,Health Care,0.00000000,0.01841364,0.01841364,1,0,0,0,1
2020-12-31->2021-03-31,2020-12-31,2021-03-31,2021-05-17,2021-05-18,Materials,0.00000000,0.00915160,0.00915160,1,0,0,0,1
2020-12-31->2021-03-31,2020-12-31,2021-03-31,2021-05-17,2021-05-18,Technology,0.00000000,0.27512026,0.27512026,2,0,0,0,1
2020-12-31->2021-03-31,2020-12-31,2021-03-31,2021-05-17,2021-05-18,Utilities,0.00000000,0.13675389,0.13675389,1,0,0,0,1
2021-03-31->2021-06-30,2021-03-31,2021-06-30,2021-08-16,2021-08-17,Communication Services,0.45920020,0.48670121,0.02750101,0,0,1,0,2
2021-03-31->2021-06-30,2021-03-31,2021-06-30,2021-08-16,2021-08-17,Consumer Discretionary,0.09646145,0.09156582,-0.00489563,0,0,0,0,2
2021-03-31->2021-06-30,2021-03-31,2021-06-30,2021-08-16,2021-08-17,Financials,0.00489897,0.00462099,-0.00027798,0,0,0,0,1
2021-03-31->2021-06-30,2021-03-31,2021-06-30,2021-08-16,2021-08-17,Health Care,0.01841364,0.03061210,0.01219846,0,0,0,0,1
2021-03-31->2021-06-30,2021-03-31,2021-06-30,2021-08-16,2021-08-17,Materials,0.00915160,0.00811029,-0.00104131,0,0,0,0,1
2021-03-31->2021-06-30,2021-03-31,2021-06-30,2021-08-16,2021-08-17,Technology,0.27512026,0.24752509,-0.02759517,0,0,0,0,1
2021-03-31->2021-06-30,2021-03-31,2021-06-30,2021-08-16,2021-08-17,Utilities,0.13675389,0.13086450,-0.00588939,0,0,0,0,1
2021-06-30->2021-09-30,2021-06-30,2021-09-30,2022-10-11,2022-10-12,Communication Services,0.48670121,0.00000000,-0.48670121,0,4,0,0,2
2021-06-30->2021-09-30,2021-06-30,2021-09-30,2022-10-11,2022-10-12,Consumer Discretionary,0.09156582,0.00000000,-0.09156582,0,2,0,0,2
2021-06-30->2021-09-30,2021-06-30,2021-09-30,2022-10-11,2022-10-12,Financials,0.00462099,0.00000000,-0.00462099,0,1,0,0,1
2021-06-30->2021-09-30,2021-06-30,2021-09-30,2022-10-11,2022-10-12,Health Care,0.03061210,0.00000000,-0.03061210,0,1,0,0,1
