as_of_date,public_date,trade_date,common_sector,holding_count,mapped_holding_count,raw_sector_count,total_market_value_usd,portfolio_weight_after
2020-09-30,2020-11-16,2020-11-17,Consumer Discretionary,1,1,1,771613000.000000,0.10945965
2020-09-30,2020-11-16,2020-11-17,Energy,1,1,1,623428000.000000,0.08843839
2020-09-30,2020-11-16,2020-11-17,Materials,1,1,1,154577000.000000,0.02192802
2020-09-30,2020-11-16,2020-11-17,Technology,2,2,1,2863924000.000000,0.40627115
2020-09-30,2020-11-16,2020-11-17,Utilities,1,1,1,1958739000.000000,0.27786322
2021-03-31,2021-05-17,2021-05-18,Communication Services,4,4,2,7093328000.000000,0.45920020
2021-03-31,2021-05-17,2021-05-18,Consumer Discretionary,2,2,2,1490053000.000000,0.09646145
2021-03-31,2021-05-17,2021-05-18,Financials,1,1,1,75675000.000000,0.00489897
2021-03-31,2021-05-17,2021-05-18,Health Care,1,1,1,284438000.000000,0.01841364
2021-03-31,2021-05-17,2021-05-18,Materials,1,1,1,141366000.000000,0.00915160
2021-03-31,2021-05-17,2021-05-18,Technology,2,2,1,4249820000.000000,0.27512026
2021-03-31,2021-05-17,2021-05-18,Utilities,1,1,1,2112456000.000000,0.13675389
2021-06-30,2021-08-16,2021-08-17,Communication Services,4,4,2,7757113000.000000,0.48670121
2021-06-30,2021-08-16,2021-08-17,Consumer Discretionary,2,2,2,1459389000.000000,0.09156582
2021-06-30,2021-08-16,2021-08-17,Financials,1,1,1,73650000.000000,0.00462099
2021-06-30,2021-08-16,2021-08-17,Health Care,1,1,1,487900000.000000,0.03061210
2021-06-30,2021-08-16,2021-08-17,Materials,1,1,1,129263000.000000,0.00811029
2021-06-30,2021-08-16,2021-08-17,Technology,2,2,1,3945090000.000000,0.24752509
2021-06-30,2021-08-16,2021-08-17,Utilities,1,1,1,2085737000.000000,0.13086450
2021-09-30,2022-10-11,2022-10-12,Materials,1,1,1,354519000.000000,1.00000000
2021-12-31,2022-10-11,2022-10-12,Materials,1,1,1,418625000.000000,1.00000000
2022-03-31,2022-12-22,2022-12-23,Communication Services,6,6,3,8257350000.000000,0.18820941
2022-03-31,2022-12-22,2022-12-23,Consumer Discretionary,9,9,3,27158950000.000000,0.61903275
2022-03-31,2022-12-22,2022-12-23,Consumer Staples,1,1,1,117682000.000000,0.00268232
2022-03-31,2022-12-22,2022-12-23,Financials,3,3,2,496459000.000000,0.01131577
2022-03-31,2022-12-22,2022-12-23,Health Care,3,3,3,437513000.000000,0.00997221
2022-03-31,2022-12-22,2022-12-23,Industrials,5,5,3,956737000.000000,0.02180686
2022-03-31,2022-12-22,2022-12-23,Materials,4,4,3,840153000.000000,0.01914956
2022-03-31,2022-12-22,2022-12-23,Real Estate,1,1,1,131562000.000000,0.00299869
2022-03-31,2022-12-22,2022-12-23,Technology,3,3,1,3020623000.000000,0.06884893
2022-03-31,2022-12-22,2022-12-23,Utilities,1,1,1,2456175000.000000,0.05598349
2022-06-30,2022-12-22,2022-12-23,Communication Services,7,7,3,8344632000.000000,0.20294967
2022-06-30,2022-12-22,2022-12-23,Consumer Discretionary,12,12,5,19920974000.000000,0.48449769
2022-06-30,2022-12-22,2022-12-23,Consumer Staples,2,2,1,592887000.000000,0.01441960
2022-06-30,2022-12-22,2022-12-23,Financials,5,5,4,1669051000.000000,0.04059296
2022-06-30,2022-12-22,2022-12-23,Health Care,3,3,3,367405000.000000,0.00893565
2022-06-30,2022-12-22,2022-12-23,Industrials,5,5,3,782768000.000000,0.01903769
2022-06-30,2022-12-22,2022-12-23,Materials,5,5,4,1585533000.000000,0.03856172
2022-06-30,2022-12-22,2022-12-23,Real Estate,2,2,2,579683000.000000,0.01409846
2022-06-30,2022-12-22,2022-12-23,Technology,9,9,3,4467214000.000000,0.10864703
2022-06-30,2022-12-22,2022-12-23,Utilities,2,2,2,2806610000.000000,0.06825951
2022-09-30,2022-11-14,2022-11-15,Communication Services,7,7,3,7812123000.000000,0.21242944
2022-09-30,2022-11-14,2022-11-15,Consumer Discretionary,12,12,5,16629520000.000000,0.45219458
2022-09-30,2022-11-14,2022-11-15,Consumer Staples,2,2,1,592038000.000000,0.01609886
2022-09-30,2022-11-14,2022-11-15,Financials,5,5,4,1687682000.000000,0.04589193
2022-09-30,2022-11-14,2022-11-15,Health Care,3,3,3,206130000.000000,0.00560515
2022-09-30,2022-11-14,2022-11-15,Industrials,4,4,3,712339000.000000,0.01937012
2022-09-30,2022-11-14,2022-11-15,Materials,5,5,4,1516923000.000000,0.04124859
2022-09-30,2022-11-14,2022-11-15,Real Estate,2,2,2,489203000.000000,0.01330255
2022-09-30,2022-11-14,2022-11-15,Technology,9,9,3,4468923000.000000,0.12152022
2022-09-30,2022-11-14,2022-11-15,Utilities,2,2,2,2660261000.000000,0.07233856
2022-12-31,2023-02-14,2023-02-15,Communication Services,7,7,3,7789983113.000000,0.25211925
2022-12-31,2023-02-14,2023-02-15,Consumer Discretionary,12,12,5,10206789107.000000,0.33033808
2022-12-31,2023-02-14,2023-02-15,Consumer Staples,2,2,1,585244648.000000,0.01894118
2022-12-31,2023-02-14,2023-02-15,Financials,4,4,3,1773511512.000000,0.05739889
2022-12-31,2023-02-14,2023-02-15,Health Care,3,3,3,149266965.000000,0.00483096
2022-12-31,2023-02-14,2023-02-15,Industrials,4,4,3,748124776.000000,0.02421272
2022-12-31,2023-02-14,2023-02-15,Materials,5,5,4,1962072744.000000,0.06350159
2022-12-31,2023-02-14,2023-02-15,Real Estate,2,2,2,492894393.000000,0.01595230
2022-12-31,2023-02-14,2023-02-15,Technology,9,9,3,4332208489.000000,0.14020996
2022-12-31,2023-02-14,2023-02-15,Utilities,2,2,2,2857913666.000000,0.09249508
2023-03-31,2023-05-15,2023-05-16,Communication Services,7,7,3,9717849752.000000,0.27361983
2023-03-31,2023-05-15,2023-05-16,Consumer Discretionary,11,11,5,11895998299.000000,0.33494868
2023-03-31,2023-05-15,2023-05-16,Consumer Staples,2,2,1,631563963.000000,0.01778258
2023-03-31,2023-05-15,2023-05-16,Financials,4,4,3,1782718523.000000,0.05019496
2023-03-31,2023-05-15,2023-05-16,Health Care,3,3,3,138222364.000000,0.00389185
2023-03-31,2023-05-15,2023-05-16,Industrials,5,5,3,814654872.000000,0.02293776
2023-03-31,2023-05-15,2023-05-16,Materials,5,5,4,1985564457.000000,0.05590639
2023-03-31,2023-05-15,2023-05-16,Real Estate,2,2,2,488468324.000000,0.01375352
