as_of_date,public_date,trade_date,sector,industry,holding_count,mapped_holding_count,total_market_value_usd,portfolio_weight_after
2022-09-30,2022-11-14,2022-11-15,REAL ESTATE,REIT - INDUSTRIAL,1,1,82776000.000000,0.00225087
2022-09-30,2022-11-14,2022-11-15,REAL ESTATE,REIT - SPECIALTY,1,1,406427000.000000,0.01105168
2022-09-30,2022-11-14,2022-11-15,TECHNOLOGY,SEMICONDUCTORS,1,1,297923000.000000,0.00810121
2022-09-30,2022-11-14,2022-11-15,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,3741180000.000000,0.10173122
2022-09-30,2022-11-14,2022-11-15,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,429820000.000000,0.01168779
2022-09-30,2022-11-14,2022-11-15,UTILITIES,SECTOR ETF - UTILITIES,1,1,2160946000.000000,0.05876105
2022-09-30,2022-11-14,2022-11-15,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,499315000.000000,0.01357751
2022-12-31,2023-02-14,2023-02-15,BASIC MATERIALS,COPPER,1,1,490027670.000000,0.01585952
2022-12-31,2023-02-14,2023-02-15,BASIC MATERIALS,GOLD,1,1,96503416.000000,0.00312329
2022-12-31,2023-02-14,2023-02-15,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,153606917.000000,0.00497142
2022-12-31,2023-02-14,2023-02-15,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,1221934741.000000,0.03954736
2022-12-31,2023-02-14,2023-02-15,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,6046884232.000000,0.19570465
2022-12-31,2023-02-14,2023-02-15,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,876294747.000000,0.02836088
2022-12-31,2023-02-14,2023-02-15,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,866804134.000000,0.02805372
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,7574515044.000000,0.24514573
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,518636119.000000,0.01678542
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,INTERNET RETAIL,7,7,647443277.000000,0.02095421
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,RESTAURANTS,1,1,626279459.000000,0.02026925
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,839915208.000000,0.02718347
2022-12-31,2023-02-14,2023-02-15,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,585244648.000000,0.01894118
2022-12-31,2023-02-14,2023-02-15,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,525585911.000000,0.01701035
2022-12-31,2023-02-14,2023-02-15,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,516426207.000000,0.01671390
2022-12-31,2023-02-14,2023-02-15,FINANCIAL SERVICES,CREDIT SERVICES,2,2,731499394.000000,0.02367464
2022-12-31,2023-02-14,2023-02-15,HEALTHCARE,BIOTECHNOLOGY,1,1,69871639.000000,0.00226136
2022-12-31,2023-02-14,2023-02-15,HEALTHCARE,HEALTH INFORMATION SERVICES,1,1,20457826.000000,0.00066211
2022-12-31,2023-02-14,2023-02-15,HEALTHCARE,HEALTHCARE PLANS,1,1,58937500.000000,0.00190749
2022-12-31,2023-02-14,2023-02-15,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,2,2,116659664.000000,0.00377564
2022-12-31,2023-02-14,2023-02-15,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,195270183.000000,0.00631983
2022-12-31,2023-02-14,2023-02-15,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,436194929.000000,0.01411725
2022-12-31,2023-02-14,2023-02-15,REAL ESTATE,REIT - INDUSTRIAL,1,1,91843837.000000,0.00297248
2022-12-31,2023-02-14,2023-02-15,REAL ESTATE,REIT - SPECIALTY,1,1,401050556.000000,0.01297982
2022-12-31,2023-02-14,2023-02-15,TECHNOLOGY,SEMICONDUCTORS,1,1,304552426.000000,0.00985670
2022-12-31,2023-02-14,2023-02-15,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,3585065615.000000,0.11602902
2022-12-31,2023-02-14,2023-02-15,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,442590448.000000,0.01432424
2022-12-31,2023-02-14,2023-02-15,UTILITIES,SECTOR ETF - UTILITIES,1,1,2325548532.000000,0.07526532
2022-12-31,2023-02-14,2023-02-15,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,532365134.000000,0.01722976
2023-03-31,2023-05-15,2023-05-16,BASIC MATERIALS,COPPER,1,1,527553473.000000,0.01485402
2023-03-31,2023-05-15,2023-05-16,BASIC MATERIALS,GOLD,1,1,100376463.000000,0.00282624
2023-03-31,2023-05-15,2023-05-16,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,151850197.000000,0.00427556
2023-03-31,2023-05-15,2023-05-16,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,1205784324.000000,0.03395057
2023-03-31,2023-05-15,2023-05-16,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,7594532080.000000,0.21383481
2023-03-31,2023-05-15,2023-05-16,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,879561690.000000,0.02476531
2023-03-31,2023-05-15,2023-05-16,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,1243755982.000000,0.03501971
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,8916413024.000000,0.25105424
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,484581433.000000,0.01364408
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,INTERNET RETAIL,6,6,755434728.000000,0.02127033
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,RESTAURANTS,1,1,657404033.000000,0.01851014
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,1082165081.000000,0.03046989
2023-03-31,2023-05-15,2023-05-16,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,631563963.000000,0.01778258
2023-03-31,2023-05-15,2023-05-16,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,496281620.000000,0.01397351
2023-03-31,2023-05-15,2023-05-16,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,501830716.000000,0.01412975
2023-03-31,2023-05-15,2023-05-16,FINANCIAL SERVICES,CREDIT SERVICES,2,2,784606187.000000,0.02209170
2023-03-31,2023-05-15,2023-05-16,HEALTHCARE,BIOTECHNOLOGY,1,1,68470648.000000,0.00192789
2023-03-31,2023-05-15,2023-05-16,HEALTHCARE,HEALTH INFORMATION SERVICES,1,1,15426716.000000,0.00043436
2023-03-31,2023-05-15,2023-05-16,HEALTHCARE,HEALTHCARE PLANS,1,1,54325000.000000,0.00152960
2023-03-31,2023-05-15,2023-05-16,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,3,3,126993402.000000,0.00357568
2023-03-31,2023-05-15,2023-05-16,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,257605567.000000,0.00725325
2023-03-31,2023-05-15,2023-05-16,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,430055903.000000,0.01210883
2023-03-31,2023-05-15,2023-05-16,REAL ESTATE,REIT - INDUSTRIAL,1,1,101653113.000000,0.00286219
2023-03-31,2023-05-15,2023-05-16,REAL ESTATE,REIT - SPECIALTY,1,1,386815211.000000,0.01089133
2023-03-31,2023-05-15,2023-05-16,TECHNOLOGY,SEMICONDUCTORS,1,1,460848901.000000,0.01297585
2023-03-31,2023-05-15,2023-05-16,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,4344231021.000000,0.12231798
2023-03-31,2023-05-15,2023-05-16,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,532060821.000000,0.01498093
2023-03-31,2023-05-15,2023-05-16,UTILITIES,SECTOR ETF - UTILITIES,1,1,2232856456.000000,0.06286924
2023-03-31,2023-05-15,2023-05-16,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,490845748.000000,0.01382046
2023-06-30,2023-08-14,2023-08-15,BASIC MATERIALS,COPPER,1,1,515818600.000000,0.01325082
2023-06-30,2023-08-14,2023-08-15,BASIC MATERIALS,GOLD,1,1,64389403.000000,0.00165409
2023-06-30,2023-08-14,2023-08-15,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,112538621.000000,0.00289099
2023-06-30,2023-08-14,2023-08-15,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,1283707925.000000,0.03297705
2023-06-30,2023-08-14,2023-08-15,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,8093115614.000000,0.20790330
2023-06-30,2023-08-14,2023-08-15,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,1144812365.000000,0.02940898
2023-06-30,2023-08-14,2023-08-15,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,1556857792.000000,0.03999398
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,9471685053.000000,0.24331724
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,510064978.000000,0.01310301
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,INTERNET RETAIL,6,6,844941867.000000,0.02170563
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,RESTAURANTS,1,1,625395597.000000,0.01606573
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,1533607385.000000,0.03939670
2023-06-30,2023-08-14,2023-08-15,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,682281239.000000,0.01752706
2023-06-30,2023-08-14,2023-08-15,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,512613700.000000,0.01316849
2023-06-30,2023-08-14,2023-08-15,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,560097148.000000,0.01438828
2023-06-30,2023-08-14,2023-08-15,FINANCIAL SERVICES,CREDIT SERVICES,2,2,727036396.000000,0.01867677
2023-06-30,2023-08-14,2023-08-15,HEALTHCARE,BIOTECHNOLOGY,1,1,56643236.000000,0.00145510
2023-06-30,2023-08-14,2023-08-15,HEALTHCARE,HEALTHCARE PLANS,1,1,108137500.000000,0.00277793
