security_key,issuer_name,cusip,title_of_class,baseline_price_eligible_flag,query_name,candidate_symbol,candidate_instrument_name,candidate_exchange,candidate_mic_code,candidate_country,candidate_type,candidate_currency,candidate_score,candidate_rank
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AIR,Airbus SE,FSX,XFRA,Germany,Common Stock,EUR,3,9
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AI.R,Asian Insulators Public Company Limited,SET,XBKK,Thailand,Depositary Receipt,THB,1,10
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,3SAA,GraniteShares 3x Short Alibaba,MTA,XMIL,Italy,ETF,EUR,5,1
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,28282,GTJA HK-CW26 Alibaba Group,HKEX,XHKG,Hong Kong,Warrant,HKD,3,2
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,28064,BOC ASI-CW26 Alibaba Group,HKEX,XHKG,Hong Kong,Warrant,HKD,3,3
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,28972,HSBC Call Warrant on Alibaba Group,HKEX,XHKG,Hong Kong,Warrant,HKD,3,4
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,27912,HT HK -CW26 Alibaba Group,HKEX,XHKG,Hong Kong,Warrant,HKD,3,5
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,58597,UBS AG Warrant - Alibaba Group,HKEX,XHKG,Hong Kong,Warrant,HKD,3,6
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,24646,UBS Group AG Warrant on Alibaba Group,HKEX,XHKG,Hong Kong,Warrant,HKD,3,7
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,29148,UBS Call Warrant on Alibaba Group,HKEX,XHKG,Hong Kong,Warrant,HKD,3,8
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,26480,JPM -CW26 Alibaba Group,HKEX,XHKG,Hong Kong,Warrant,HKD,3,9
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,ALIBABA,27605,HT HK -PW27 Alibaba Group,HKEX,XHKG,Hong Kong,Warrant,HKD,3,10
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,GOOGL,Alphabet Inc.,NASDAQ,XNGS,United States,Common Stock,USD,19,1
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,GOOG,Alphabet Inc.,NASDAQ,XNGS,United States,Common Stock,USD,15,2
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,GOOGL,Alphabet Inc.,BMV,XMEX,Mexico,Common Stock,MXN,13,3
