as_of_date,public_date,trade_date,report_type,common_sector,holding_count,raw_industry_count,total_market_value_usd,portfolio_weight_usd,avg_ownership_pct,avg_voting_pct
2018-12-31,2019-02-27,2019-02-28,annual,Technology,809,1,79665842087.000000,0.12591200,1.21278100,1.18815800
2018-12-31,2019-02-27,2019-02-28,annual,Utilities,252,1,17938598724.000000,0.02835200,0.93373000,0.89127000
2019-12-31,2020-02-25,2020-02-26,annual,Communication Services,138,1,22120001939.000000,0.02717400,1.08688400,1.05565200
2019-12-31,2020-02-25,2020-02-26,annual,Consumer Discretionary,1193,1,86904166358.000000,0.10676100,1.16496200,1.13134100
2019-12-31,2020-02-25,2020-02-26,annual,Consumer Staples,1201,1,93625001178.000000,0.11501700,1.12174000,1.09657800
2019-12-31,2020-02-25,2020-02-26,annual,Energy,311,1,40680672764.000000,0.04997600,1.07607700,1.06366600
2019-12-31,2020-02-25,2020-02-26,annual,Financials,1882,1,192099861794.000000,0.23599200,1.21508500,1.19946300
2019-12-31,2020-02-25,2020-02-26,annual,Health Care,749,1,92027312458.000000,0.11305400,1.13570100,1.10885200
2019-12-31,2020-02-25,2020-02-26,annual,Industrials,1943,1,108908415452.000000,0.13379200,1.28797700,1.25971700
2019-12-31,2020-02-25,2020-02-26,annual,Materials,665,1,36143115468.000000,0.04440100,1.18804500,1.17180500
2019-12-31,2020-02-25,2020-02-26,annual,Technology,862,1,118366344443.000000,0.14541100,1.18387500,1.15182100
2019-12-31,2020-02-25,2020-02-26,annual,Utilities,258,1,23135199520.000000,0.02842100,0.93228700,0.88821700
2020-12-31,2021-02-25,2021-02-26,annual,Communication Services,136,1,22473256381.000000,0.02413500,1.08455900,1.04441200
2020-12-31,2021-02-25,2021-02-26,annual,Consumer Discretionary,1158,1,106349270005.000000,0.11421400,1.05933500,1.02516400
2020-12-31,2021-02-25,2021-02-26,annual,Consumer Staples,1151,1,111423712887.000000,0.11966400,1.07685500,1.04576000
2020-12-31,2021-02-25,2021-02-26,annual,Energy,225,1,27636369918.000000,0.02968000,0.98391100,0.97084400
