as_of_date,industry,holding_count,total_market_value_usd,portfolio_weight_usd,avg_ownership_pct,avg_voting_pct
2024-12-31,Basic Materials,628,39521759400.000000,0.030736,1.050924,1.019283
2024-12-31,Consumer Discretionary,1472,183400008738.000000,0.142630,1.000781,0.964844
2024-12-31,Consumer Staples,572,59309363538.000000,0.046125,0.921241,0.903986
2024-12-31,Energy,211,40401420663.000000,0.031420,0.911848,0.900284
2024-12-31,Financials,1062,197686814418.000000,0.153741,1.057156,1.041497
2024-12-31,Health Care,812,126313700993.000000,0.098234,0.942463,0.913842
2024-12-31,Industrials,1735,162667017609.000000,0.126506,1.108697,1.080559
2024-12-31,Real Estate,634,62811616191.000000,0.048849,1.304416,1.296309
2024-12-31,Technology,1055,347235729038.000000,0.270045,1.063204,1.013185
2024-12-31,Telecommunications,210,36805564927.000000,0.028624,0.901762,0.876762
2024-12-31,Utilities,268,29690044568.000000,0.023090,0.908619,0.893582
2025-06-30,Basic Materials,613,42573072149.000000,0.030674,1.020930,0.980522
2025-06-30,Consumer Discretionary,1429,189147731898.000000,0.136281,0.991812,0.961505
2025-06-30,Consumer Staples,559,61029989574.000000,0.043972,0.877764,0.862773
2025-06-30,Energy,198,39869570700.000000,0.028726,0.824848,0.808434
2025-06-30,Financials,1066,232057896710.000000,0.167198,1.030356,1.015319
2025-06-30,Health Care,767,126094154938.000000,0.090851,0.947040,0.922138
2025-06-30,Industrials,1672,181945791153.000000,0.131092,1.058792,1.030054
2025-06-30,Real Estate,601,64984792495.000000,0.046822,1.305175,1.294276
2025-06-30,Technology,1007,376093487523.000000,0.270975,1.049305,1.006495
2025-06-30,Telecommunications,208,40141924524.000000,0.028922,0.898798,0.872644
2025-06-30,Utilities,254,33986212757.000000,0.024487,0.861575,0.853425
2025-12-31,Basic Materials,557,51022401693.000000,0.033897,1.108582,1.082639
2025-12-31,Consumer Discretionary,1208,198921988450.000000,0.132154,1.112508,1.068874
2025-12-31,Consumer Staples,470,57743582981.000000,0.038362,0.960553,0.950489
2025-12-31,Energy,172,42406724401.000000,0.028173,0.927209,0.904186
2025-12-31,Financials,958,253592209658.000000,0.168474,1.057839,1.039405
2025-12-31,Health Care,669,139516303759.000000,0.092688,1.027818,1.000837
2025-12-31,Industrials,1397,190665287217.000000,0.126669,1.149392,1.117967
2025-12-31,Real Estate,508,63483893546.000000,0.042176,1.511004,1.498957
2025-12-31,Technology,850,427983102269.000000,0.284331,1.121059,1.069588
2025-12-31,Telecommunications,180,44012389209.000000,0.029240,0.903167,0.858333
2025-12-31,Utilities,232,35881157574.000000,0.023838,0.906121,0.905129
