instrument_key,instrument_type,display_name,source_ref,requested_symbol,resolved_symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,timezone
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2009-11-30,537.0800,587.0599,528.2410,583.0000,14.4997,81729700,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2009-12-31,588.1300,625.9900,579.1800,619.9800,15.4194,85154200,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-01-29,626.9500,629.5100,525.6100,529.9440,13.1801,178021600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-02-26,534.6020,547.5000,520.0000,526.8000,13.1019,103963600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-03-31,529.2000,588.2750,527.7400,567.1200,14.1047,167380600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-04-30,571.3500,597.8400,521.0300,525.6950,13.0744,145974700,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-05-28,526.5000,532.9200,460.0000,485.6300,12.0780,162958300,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-06-30,480.4300,509.2500,444.7200,444.9500,11.0663,119605600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-07-30,445.2900,497.5000,433.6300,484.8500,12.0586,138480300,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-08-31,488.9900,508.6000,447.6500,450.0200,11.1923,105603500,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-09-30,454.9800,536.8490,452.5000,525.7900,13.0768,119281400,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-10-29,530.0000,624.7400,518.8501,613.7000,15.2632,158536000,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-11-30,615.7300,630.8500,553.3100,555.7100,13.8209,116766000,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2010-12-31,563.0000,607.0000,562.4000,593.9700,14.7725,84484800,0.0000,
