rebalance_id,execution_date,side,instrument_key,issuer_name,symbol,shares,execution_price,execution_value,sector,rationale_text
S5N6F-R001,2019-02-14,BUY,sector::XLF,XLF,XLF,0.013989735832,22.56961000,0.315742881741,XLF,base_sleeve=N6; sleeve_date=2019-01-31; exposure_state=initial; exposure_weight=1.00
S5N6F-R015,2022-10-12,BUY,sector::XLY,XLY,XLY,0.000324311126,65.69218000,0.021304704873,XLY,base_sleeve=N6; sleeve_date=2022-09-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R015,2022-10-12,BUY,sector::XLF,XLF,XLF,0.000492339323,28.54526000,0.014053953990,XLF,base_sleeve=N6; sleeve_date=2022-09-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R016,2022-11-15,SELL,sector::XLK,XLK,XLK,0.000247689630,63.62676000,0.015759688624,XLK,base_sleeve=N6; sleeve_date=2022-10-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R016,2022-11-15,SELL,sector::XLY,XLY,XLY,0.000053755907,68.40494000,0.003677169599,XLY,base_sleeve=N6; sleeve_date=2022-10-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R016,2022-11-15,SELL,sector::XLF,XLF,XLF,0.000291211687,33.39861000,0.009726065573,XLF,base_sleeve=N6; sleeve_date=2022-10-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R017,2022-12-23,BUY,sector::XLK,XLK,XLK,0.002039685414,59.68067000,0.121729792107,XLK,base_sleeve=N6; sleeve_date=2022-11-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R017,2022-12-23,BUY,sector::XLY,XLY,XLY,0.001831870285,61.50355000,0.112666525687,XLY,base_sleeve=N6; sleeve_date=2022-11-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R017,2022-12-23,BUY,sector::XLF,XLF,XLF,0.003816206969,32.19344000,0.122856830089,XLF,base_sleeve=N6; sleeve_date=2022-11-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R018,2023-02-15,SELL,sector::XLK,XLK,XLK,0.002013995604,69.01594700,0.138997813841,XLK,base_sleeve=N6; sleeve_date=2023-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R018,2023-02-15,SELL,sector::XLY,XLY,XLY,0.001884858720,73.13139000,0.137842338183,XLY,base_sleeve=N6; sleeve_date=2023-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R018,2023-02-15,SELL,sector::XLF,XLF,XLF,0.003170948106,34.84857000,0.110503007035,XLF,base_sleeve=N6; sleeve_date=2023-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R019,2023-03-08,BUY,sector::XLK,XLK,XLK,0.000010644027,67.15752000,0.000714826475,XLK,base_sleeve=N6; sleeve_date=2023-03-08; exposure_state=stable; exposure_weight=0.75
S5N6F-R019,2023-03-08,SELL,sector::XLF,XLF,XLF,0.000636585608,33.15119000,0.021103570452,XLF,base_sleeve=N6; sleeve_date=2023-03-08; exposure_state=stable; exposure_weight=0.75
S5N6F-R019,2023-03-08,BUY,sector::XLY,XLY,XLY,0.000507271951,67.95185000,0.034470067491,XLY,base_sleeve=N6; sleeve_date=2023-03-08; exposure_state=stable; exposure_weight=0.75
S5N6F-R020,2023-05-16,SELL,sector::XLK,XLK,XLK,0.000129015966,73.29803000,0.009456616116,XLK,base_sleeve=N6; sleeve_date=2023-04-28; exposure_state=stable; exposure_weight=0.75
S5N6F-R020,2023-05-16,BUY,sector::XLF,XLF,XLF,0.000306999570,30.36040000,0.009320629756,XLF,base_sleeve=N6; sleeve_date=2023-04-28; exposure_state=stable; exposure_weight=0.75
S5N6F-R020,2023-05-16,SELL,sector::XLY,XLY,XLY,0.000056903424,70.47858000,0.004010472550,XLY,base_sleeve=N6; sleeve_date=2023-04-28; exposure_state=stable; exposure_weight=0.75
S5N6F-R021,2023-08-15,BUY,sector::XLK,XLK,XLK,0.000064185935,81.10653000,0.005205898495,XLK,base_sleeve=N6; sleeve_date=2023-07-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R021,2023-08-15,SELL,sector::XLF,XLF,XLF,0.000748024767,32.74572000,0.024494609559,XLF,base_sleeve=N6; sleeve_date=2023-07-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R021,2023-08-15,SELL,sector::XLY,XLY,XLY,0.000148441365,80.60190000,0.011964656040,XLY,base_sleeve=N6; sleeve_date=2023-07-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R022,2023-11-15,SELL,sector::XLK,XLK,XLK,0.000212133174,88.42878000,0.018758677730,XLK,base_sleeve=N6; sleeve_date=2023-10-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R022,2023-11-15,BUY,sector::XLF,XLF,XLF,0.000272481655,33.35294000,0.009088064289,XLF,base_sleeve=N6; sleeve_date=2023-10-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R022,2023-11-15,SELL,sector::XLY,XLY,XLY,0.000028430512,80.80622000,0.002297362242,XLY,base_sleeve=N6; sleeve_date=2023-10-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R023,2024-02-15,SELL,sector::XLK,XLK,XLK,0.000051126444,99.62616000,0.005093531315,XLK,base_sleeve=N6; sleeve_date=2024-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R023,2024-02-15,SELL,sector::XLF,XLF,XLF,0.000411538732,38.42552000,0.015813589758,XLF,base_sleeve=N6; sleeve_date=2024-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R023,2024-02-15,SELL,sector::XLY,XLY,XLY,0.000185665074,87.06027800,0.016164052974,XLY,base_sleeve=N6; sleeve_date=2024-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R024,2024-02-28,SELL,sector::XLK,XLK,XLK,0.000605555031,99.74798000,0.060402891129,XLK,base_sleeve=N6; sleeve_date=2024-02-28; exposure_state=stable; exposure_weight=0.75
