date,instrument_key,issuer_name,symbol,sector,shares_end,close_price,market_value_end,weight_end,rebalance_id
2019-06-10,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,51.65170000,0.245996879845,0.230396304467,
2019-06-10,sector::XLV,XLV,XLV,Health Care,0.003309208448,80.98732000,0.268003923519,0.251007710343,
2019-06-10,sector::XLK,XLK,XLK,Technology,0.008594244164,34.06197900,0.292736964228,0.274172236580,
2019-06-11,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,51.85077000,0.246944972529,0.231174353635,
2019-06-11,sector::XLV,XLV,XLV,Health Care,0.003309208448,80.85423000,0.267563500967,0.250476123320,
2019-06-11,sector::XLK,XLK,XLK,Technology,0.008594244164,34.06197900,0.292736964228,0.274041936540,
2019-06-12,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,51.83750000,0.246881772700,0.231203216976,
2019-06-12,sector::XLV,XLV,XLV,Health Care,0.003309208448,81.24462000,0.268855382853,0.251781363755,
2019-06-12,sector::XLK,XLK,XLK,Technology,0.008594244164,33.87169000,0.291101574101,0.272614781005,
2019-06-13,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,52.30199000,0.249093957212,0.232672656414,
2019-06-13,sector::XLV,XLV,XLV,Health Care,0.003309208448,81.14703000,0.268532437200,0.250829671647,
2019-06-13,sector::XLK,XLK,XLK,Technology,0.008594244164,33.97347000,0.291976296272,0.272728014857,
2019-06-14,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,52.41701000,0.249641752562,0.233755742669,
2019-06-14,sector::XLV,XLV,XLV,Health Care,0.003309208448,80.96071000,0.267915865482,0.250866978244,
2019-06-14,sector::XLK,XLK,XLK,Technology,0.008594244164,33.67697000,0.289428102877,0.271010279502,
2019-06-17,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,52.43913000,0.249747101486,0.233518221904,
2019-06-17,sector::XLV,XLV,XLV,Health Care,0.003309208448,81.32448000,0.269119656240,0.251631923776,
2019-06-17,sector::XLK,XLK,XLK,Technology,0.008594244164,33.70353000,0.289656366002,0.270834132406,
2019-06-18,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,52.83727000,0.251643286853,0.233233685941,
2019-06-18,sector::XLV,XLV,XLV,Health Care,0.003309208448,82.01652500,0.271409777400,0.251554108894,
2019-06-18,sector::XLK,XLK,XLK,Technology,0.008594244164,34.31422000,0.294904784970,0.273330279780,
2019-06-19,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,52.93459000,0.252106784015,0.232807652189,
2019-06-19,sector::XLV,XLV,XLV,Health Care,0.003309208448,82.75293000,0.273846695047,0.252883342202,
2019-06-19,sector::XLK,XLK,XLK,Technology,0.008594244164,34.43813000,0.295969697765,0.273312797690,
2019-06-20,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,53.30176000,0.253855471364,0.232855296678,
2019-06-20,sector::XLV,XLV,XLV,Health Care,0.003309208448,83.11670000,0.275050485804,0.252296955150,
2019-06-20,sector::XLK,XLK,XLK,Technology,0.008594244164,34.94262000,0.300305408003,0.275462665818,
2019-06-21,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,53.23588000,0.253541710647,0.232433014062,
2019-06-21,sector::XLV,XLV,XLV,Health Care,0.003309208448,83.51470000,0.276367550766,0.253358481529,
2019-06-21,sector::XLK,XLK,XLK,Technology,0.008594244164,34.89927000,0.299932847518,0.274961841928,
2019-06-24,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,52.95081000,0.252184033542,0.231661528888,
2019-06-24,sector::XLV,XLV,XLV,Health Care,0.003309208448,83.07810300,0.274922760286,0.252549798968,
2019-06-24,sector::XLK,XLK,XLK,Technology,0.008594244164,34.96612000,0.300507372741,0.276052359198,
2019-06-25,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,52.44304000,0.249765723289,0.231364343575,
2019-06-25,sector::XLV,XLV,XLV,Health Care,0.003309208448,82.73952000,0.273802318562,0.253630053272,
2019-06-25,sector::XLK,XLK,XLK,Technology,0.008594244164,34.32437000,0.294992016549,0.273258609588,
2019-06-26,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,52.61230000,0.250571842582,0.231996024358,
2019-06-26,sector::XLV,XLV,XLV,Health Care,0.003309208448,81.69704000,0.270352534939,0.250310300769,
2019-06-26,sector::XLK,XLK,XLK,Technology,0.008594244164,34.69427000,0.298171027465,0.276066505469,
2019-06-27,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,52.94191000,0.252141646317,0.232540267696,
2019-06-27,sector::XLV,XLV,XLV,Health Care,0.003309208448,82.26728000,0.272239577964,0.251075795142,
2019-06-27,sector::XLK,XLK,XLK,Technology,0.008594244164,34.78340000,0.298937032447,0.275697801474,
2019-06-28,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,53.09334600,0.252862876857,0.232862465123,
2019-06-28,sector::XLV,XLV,XLV,Health Care,0.003309208448,82.54350000,0.273153647522,0.251548319429,
2019-06-28,sector::XLK,XLK,XLK,Technology,0.008594244164,34.77894000,0.298898702118,0.275257046279,
2019-07-01,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,53.56103000,0.255090273143,0.233124696512,
2019-07-01,sector::XLV,XLV,XLV,Health Care,0.003309208448,82.95336000,0.274509959696,0.250872172644,
2019-07-01,sector::XLK,XLK,XLK,Technology,0.008594244164,35.33156000,0.303648053328,0.277501213223,
2019-07-02,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,53.67684000,0.255641830955,0.233026062516,
2019-07-02,sector::XLV,XLV,XLV,Health Care,0.003309208448,83.39887000,0.275984245152,0.251568852108,
